,file,language,start,questions,f0final
0,p254p255-part1_ch2,English,5.88917596972564,WH,"[   0.         0.        50.64992   65.85841   81.4403    98.20233
   99.75562  100.1022    98.18985   95.55511   93.37106   92.19338
   92.12261   92.88293   94.12119   95.73397   97.78253  100.3587   103.193
  106.1362   108.9988   111.8998   114.8152   117.7447   120.6446   123.6656
  127.3163   131.9924   137.48     142.7894   147.3857   151.6205   155.4733
  158.6302   160.537    161.5594   161.9183   161.7408   161.0598   160.0973
  158.9817   157.822    156.6525   155.463    154.2142   152.7217   150.9617
  149.0664   147.2113   145.6245   144.3863   143.692    143.5844   144.0273
  144.8118   145.7382   146.7216   147.826    149.1426   150.49     151.7324
  152.7168   153.561    154.276    155.0011   155.7691   155.45     153.7246
  151.1536   149.4974   149.4962   150.3382   151.1872   151.5352   151.5633
  151.4375   151.0155   150.17     148.7126   146.46     143.6181   140.688
  137.8257   134.5379   130.2914   125.0273   119.3206   113.7196   108.7287
  104.723    101.9154   100.2738   100.428    106.3297   111.0168   113.3918
  110.7803   110.229    111.8282   114.1842   117.4195   121.9393   127.9937
  135.1431   142.024    148.0206   153.7545   159.5845   164.5948   167.3116
  167.4064   165.3128   160.0305   152.6881   141.2408   128.8926   117.897
  108.3425   101.8709    95.04203   90.54941   85.70097   81.57398
   78.2913    75.7682    73.92246   72.41068   71.18472   70.27039
   69.64427   69.23812   69.06354   69.34164   69.83215   70.00008
   68.76463   66.70016   64.75105   63.72276   63.23317   62.96494    0.
    0.         0.         0.         0.         0.         0.         0.
    0.     ]"
1,p254p255-part1_ch2,English,26.446840926473712,Y/N,"[   0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.         0.         0.         0.         0.
  142.0815   140.801    138.9034   138.241    139.1752   141.069    143.1998
  145.5354   147.8428   150.0827   152.0475   153.8834   155.5716   157.0465
  158.266    159.2895   160.1829   160.9177   161.2738   161.0231   160.1266
  158.6842   157.9228   158.587    160.0008   159.6843   156.7631   154.5604
    0.         0.         0.         0.         0.         0.         0.
   48.82729   49.18513   49.39853   58.73953   70.82413  103.808    128.4235
  149.1212   148.2031   147.0254   146.0836   145.5657   145.324    144.4889
  142.6454   140.5399   138.0104   134.9885   130.7501   126.1608   121.9764
  119.2149   119.0036   124.8819   130.943    135.5965   135.312    135.6221
  137.417    139.9803   142.7566   145.1095   147.3135   149.1967   150.6382
  151.5695   152.2399   152.8929   153.7399   154.5804   155.0918   155.0282
  154.4022   153.4349   152.0244   150.1608   148.1392   146.5543   145.2757
  142.1763   140.4767     0.         0.         0.         0.         0.
    0.       153.4119   151.5657   148.1902   146.3133   145.8784   146.4853
  147.1674   147.2165   147.793    149.0643   150.5275   150.9387   150.3063
  148.4988   147.0407   148.409    152.0411   149.315    143.1012   136.362
    0.         0.         0.         0.         0.       147.0317   145.2385
  141.4505   139.941    138.9629   138.5193   138.2119   138.3916   140.324
  144.0598   148.0832   150.6123   151.1951   150.0534   148.3081   146.624
  145.718    145.2899   145.1066   144.9307   144.5062   143.8773   143.1515
  142.4205   141.5159   140.3088   138.4688   135.8881   133.2698   130.0714
  125.5322   120.4366   115.7731   114.1061     0.       128.5832   127.9134
  126.6293   125.9453   126.2118   127.4964   129.2621   131.211    133.5136
  136.3298   139.6815   143.2375   146.7821   150.2193   153.8572   156.4209 ]"
2,p254p255-part1_ch2,English,30.233467919300857,WH,"[ 100.8829   104.9144   110.7902   116.1156   119.427    121.3808   122.9983
  124.4877   125.9175   127.4064   129.6388   132.4686   135.3044   137.18
  137.785    137.2088   135.6143   133.3757   130.8297   128.419    126.4127
  124.8529   123.5151   122.3369   121.3006   119.916    117.6397   114.4845
  110.9813   107.8734   105.063    101.1688    96.03707   91.23257
   88.41079   79.69911   75.51675    0.         0.         0.         0.
  125.2295   124.7272   123.0166   120.2926   116.4517   112.0125   107.4098
  102.9806    98.92834   95.1675    91.69857   88.85899   86.44974
   84.99387   84.24561    0.         0.         0.         0.         0.
    0.         0.         0.        46.54388   55.16269   64.42117
   70.56503   68.79369   66.72873   68.53027   64.66215   61.06541
   56.07524   57.00596   58.28563   59.29272   61.11496   69.23117
   77.46351   84.57771   85.90131   88.03802   90.12802   91.18415
   92.67417   95.53083   97.80009    0.         0.         0.         0.     ]"
3,p254p255-part1_ch2,English,48.636713906551854,WH,"[   0.         0.         0.         0.         0.         0.        67.05682
   65.77187   61.97453   67.56669   74.65482   76.88715   74.0073
   69.56577   65.04718    0.         0.         0.         0.        68.88966
   75.07398   81.17119   89.3559    92.00513   95.5826    98.21588
  100.8182   102.8889   104.4256   105.6273   106.7016   107.609    108.2809
  108.4587   106.4157    97.21674   87.83738   68.61053   59.03866
   47.56569   49.03615    0.         0.         0.         0.         0.
    0.         0.         0.       114.4639   113.3231   110.3209   107.3956
  105.0669   104.6168   105.152    106.2212   107.3844   108.1022   108.2916
  107.7718   106.9092   106.2559   105.8834   105.5431   105.1771   104.7296
  104.2048   103.643    103.113    102.7063   102.3982   102.1291   101.8306
  101.4643   101.0783   100.7526   100.5772   100.5076   100.3803   100.1688
  100.0783   100.2152   100.4433   100.4555   100.1204    99.33148
   98.11732   96.55305   94.83981   93.19819   91.84045   90.90555
   90.60318   90.89837   91.44836   91.7694    91.67843   91.49026
   91.58318   92.02802   92.59925   92.86136   92.55625   91.68554
   90.49111   89.04299   87.61326   86.08907   85.81168   87.4342
   90.17983   92.70013   93.90884   94.45065   94.2009    92.9757
   91.30703   90.53049   90.54526   91.10721   91.1046     0.         0.
    0.         0.         0.         0.       170.0385   170.8667   171.9009
    0.         0.         0.         0.         0.         0.         0.
   67.5249    66.34975   63.81386   73.75689   85.2623    98.75085
  100.7831   102.0908   102.1928   101.9927   102.5647   104.3151   106.6505
  109.271    112.2647   115.83     119.0309   120.5339   118.967    117.6412
    0.         0.         0.         0.         0.         0.         0.
    0.         0.       138.7332   132.013    122.2672   115.1139   111.2285
  107.1117   104.8908   103.7314   105.2924   107.3427   108.6787   107.4826
  106.3843   105.1832   102.2613   100.4583    99.46218  100.9105   102.7899
  104.6989   106.1571   106.4002   106.7486   108.0396   110.3039   113.2836
  116.7036   119.8582   122.3561   123.9887   124.9949   125.3698   124.9662
  123.6438   122.184    120.8617   119.2869   116.7904   113.2944   109.7332
  106.5053   103.8161   101.7317   100.0323    99.47422  100.3977   101.7973
  102.8531   103.3174   104.3939   105.7715   106.5568   105.7099   102.7017
  100.7843     0.         0.         0.         0.         0.         0.
  134.9194   133.898    133.0483   132.5616   133.7119   139.9639   148.2587
  164.2657   174.6608   180.0493   175.4993   169.938    164.3808   158.3733
  151.7346   123.0988    94.367     61.02849   52.08963]"
4,p254p255-part1_ch2,English,104.75862654518686,WH,"[   0.         0.         0.         0.         0.        96.12115
   97.02149   99.17747  102.1559   107.0597   114.9093   120.4417   127.8742
  132.6297   137.6181   138.5655   138.5426   137.6925   137.5928   139.1308
  142.5112   146.3174   150.3944   153.2395   154.2384   153.1703   152.9014
  154.3186   155.6143   155.7785   155.0119   154.8189   155.0459   155.3056
  155.3911   155.16     154.5799   153.6747   152.2019   150.2634   148.1123
  146.1591   144.6846   143.6087   143.0856   142.626    142.0975   141.5279
  141.3479   141.7604   142.4647   143.1517   143.7566   144.4214   145.2251
  146.0021   146.3689   145.9308   144.4669   142.315    138.9264   137.2386
    0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.       141.0413   141.3304   141.7878   141.8763
  140.9868   139.3148   137.0218   135.0262   133.3152   132.4203   132.4746
  133.6465   135.5952   138.6458   141.6574   144.4102   145.474    144.8286
  142.1554   139.3036   137.938    137.9436   137.9102   139.0007   140.6644
  142.4652   141.6232   138.61     133.5322   127.0101   120.7519   115.509
  111.9994   109.7824   108.7785   108.6835   109.0515   109.8948   111.2956
  113.2216   115.4722   117.6157   119.1343   119.6901   119.4025   118.5455
  116.7539   112.4512   106.5592    97.93659   91.86169   72.99528
   61.74353   70.61033   95.13808  116.8821   119.1215   119.963    118.7575
  115.393    111.5757   109.0658   108.4404   109.0353   109.6556   110.305
  110.7383   110.8661   110.7368   110.2809   109.6041   109.0372   108.6522
  108.4928   108.44     108.6357   109.0657   109.6364   110.4033   111.3708
  112.4655   113.4706   114.1367   114.3352   114.0432   113.3426   111.8308
  109.8535   108.5833     0.         0.         0.         0.         0.
    0.         0.         0.         0.         0.         0.       128.0787
  124.3258   116.7028   116.8127   116.7179   116.5197   116.2151   115.6943
  114.7109   113.1447   109.9554   106.5152   101.3036    99.2525     0.
    0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.         0.        54.74932   56.3378
   71.71097   89.59991  108.7217   114.707    118.0388   118.9861   119.4864
  119.3825   118.5997   117.9655   118.5224   120.1874   122.3011   124.0713
  125.3113   125.5562   124.4128   122.0714   118.507    113.4199   106.7989
   99.5249    93.14915   88.41028   85.29821   83.38609   82.49653
   82.44993   82.69057   82.74995   82.44929   81.80003   80.95401
   80.00415   79.19201   78.40691   78.83268   79.0198     0.     ]"
5,p254p255-part1_ch2,English,118.30628891726828,Y/N,"[   0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.         0.        84.80987   87.22598
   91.92205   92.40751   93.64155   94.78509   95.35513   92.93203
   90.91525   88.59115   89.06864   90.19849   92.86093   96.03048
   98.50031   99.96676  100.1422    99.92252   99.90639   99.80753
   99.33527   98.17359   96.96478   95.75037   94.01407   92.08585
   90.20148   88.64627   86.52005   83.89948   81.52138   80.17063
   81.40469   84.51104   87.97158   89.49265   89.31415   88.67303
   88.25172   87.81967   86.94724   85.51791   83.02934   80.72966
   78.93161   77.54932   76.94308    0.         0.         0.        91.32509
   91.78848   92.72974   94.18095   95.99347   97.89151   99.5555   100.8175
  101.4744   105.3162   109.4386   113.7789   114.3648   114.3574   114.1909
  112.4477   107.488    104.256      0.         0.         0.         0.
    0.       113.5039   112.783    111.7096   111.3033   111.6067   112.5116
  113.7079   114.9873   116.0167   116.8502   118.1677   120.9334   123.8597
  126.2084   126.979    127.1802   126.4467   125.3998   126.3378   128.2179
  129.9454   129.5562   128.6768   127.9178   127.3118   126.7041   125.9671
  124.9912   123.8523   122.5426   120.3764   117.0715   113.2051   109.0808
  107.2535     0.        48.37041   48.3358    47.70508    0.         0.
    0.         0.         0.         0.        56.48855   56.28833]"
6,p254p255-part1_ch2,English,142.6353798763525,Y/N,"[   0.         0.         0.         0.         0.        63.18925
   62.71426   73.9669    85.34095   84.88571   72.51656   60.29858    0.
    0.         0.         0.         0.         0.       132.2763   130.9605
  128.4279   127.5538   127.011    126.8929   127.349    128.1522   128.9616
  129.4333   129.6193   129.5952   129.5833   129.7299   130.1095   130.5439
  130.6126   130.0387   128.951    127.7324   126.6456   125.2308   123.1749
  120.3916   111.2412    98.03231   88.40106    0.         0.         0.
    0.         0.       141.803    142.694    144.9059   145.5208   146.931
  148.5003   150.2261   151.9845   153.916    155.8519   157.7902   159.566
  161.3024   162.9505   164.9334   167.1723   169.3372   171.0597   172.2209
  172.8594   172.9097   172.3647   171.491    170.2862   168.362    165.4387
  160.5009   144.7751   128.9598   116.6427   116.8506   119.1165   121.9687
  124.4742   126.3659   124.3457   120.5376   113.2483   105.9705   101.335
    0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.       160.3456   159.9049   158.5634   156.849
  155.3456   153.7585   151.4574   148.3989   145.1118   141.293    137.1916
  133.5374   129.8161   125.3564   122.6755     0.         0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.       113.2611   110.3312   103.725    102.4659
  101.5374   101.4857   101.1092   100.2018    98.80804   97.3735
   95.96522   94.63746   93.01654   91.0538    89.29077   86.32755
   83.78519   81.7131     0.         0.         0.         0.         0.
    0.         0.         0.         0.        84.58218   83.34266
   81.18642   84.54655   88.91776   93.87974   93.72205    0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.        68.86809   67.99854   67.13018]"
7,p254p255-part1_ch2,English,152.20594623720717,Y/N,"[   0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.       133.2706   133.8878   134.8184   135.3596
  136.357    138.9427   142.5528   146.8041   149.9607   151.886    151.8768
  150.1393   146.6591   140.7691   133.2749   124.5947   115.6204   111.0854
    0.         0.        58.96424   59.82925   57.68219   51.21613
   46.04456    0.         0.       129.6407   130.2787   131.0795   130.009
  128.3829   127.1446   127.6401   129.1103   130.6994   131.6606   131.2741
  129.9601   128.5259   126.9316   124.4277   118.2753   110.0223
   86.39559   65.09864   47.45544    0.         0.         0.         0.
    0.         0.         0.       126.6751   126.7254   131.168    136.4206
  141.4478   139.776    136.9451   134.7269   135.4233   136.5308   137.2822
  137.1231   135.9646   136.2066   136.3743   136.3947   133.8787   128.2085
  122.5501   115.1559   108.4984   101.1707    95.90039   92.44321
   89.53551   86.99516   84.03546   82.86903    0.         0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.         0.     ]"
8,p254p255-part1_ch2,English,211.4087548651524,Y/N,"[   0.        83.62939   84.91147   86.97738   88.59582   89.29226
   89.87724   90.94051   80.0705    88.20327   95.32422  114.584    114.8589
  115.8649   116.7903   117.4576   118.0347   118.6465   119.2453   119.6192
  119.7645   119.8394   120.1047   120.5441   120.9077   120.8933   120.4127
  119.5868   118.5121   117.3731   116.4645   115.9915   115.9023   115.8373
  115.4243   114.7379   114.0224   113.5654   113.2984   113.1522   113.0954
  113.1307   113.2549   113.4683   113.7434   113.9939   114.1523   114.1976
  114.1712   114.1392   114.0868   113.9312   113.5405   112.861    111.9958
  111.0881   110.2918   109.7392   109.5055   109.6084   109.999    110.5449
  110.9536   111.067    105.3817    99.81388   93.88674   93.53821
   93.09354    0.         0.         0.         0.         0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.       176.8116   173.3922   169.3372   166.2226   169.1054   170.4268
  188.142    203.4153   220.6906   221.6296   218.8227   217.1761     0.
    0.         0.       161.6111   161.237    160.8459     0.         0.
    0.         0.         0.         0.         0.         0.         0.
  138.4131   136.8719   134.9898   133.1319   133.6956   134.9483   139.069
  142.2043   144.7102   143.7843   142.0002   138.5586   135.5268   133.6616
  134.0115   134.5381   134.5945   133.8913   132.9555   132.1911   131.9454
  132.0179   132.4369   132.9239   133.2581   133.2849   133.1525   132.9614
  132.8843   133.2334   134.388    136.4494   139.2613   142.1535   144.5798
  146.157    146.8688   147.2174   147.5306   147.9964   148.4272   148.6236
  148.5348   148.1125   147.4646   146.7363   146.0504   145.1618   141.2411
  136.359    130.7501   127.9686   127.5157   128.1887   129.1007   128.6158
  127.8785   127.0393   126.1756   125.3148   124.5259   123.8082   123.1799
  122.5407   121.7314   120.7357   119.243    118.2027   117.319    116.6323
  115.5325   114.4368   113.9188   113.9294   114.4652   115.275    116.1757
  117.0222   117.7214   118.3107   118.8965   119.5758   120.2441   120.6527
  120.0631   119.6684     0.         0.         0.         0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.         0.       136.9657   134.5831   129.6452   129.634    129.4897
  129.4501   129.4332   129.2845   128.9799   128.5766   127.5461   126.8508
  128.5514   131.0723   133.4381   133.7384   134.2782   135.6279   137.1505
  138.1568   138.246    138.3403   138.7813   138.5533   137.3186   135.0577
  131.7735   127.6758   125.2196     0.         0.         0.         0.
    0.     ]"
9,p254p255-part1_ch2,English,284.4339223678282,WH,"[   0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.        44.10761   58.97884   68.53138
   78.73806   74.23731   73.96806   73.12933   71.80505   71.12885
   70.86668   70.76527   70.92446   71.14948   71.07131   70.29703
   66.23907   62.15814   58.80278    0.         0.         0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.         0.         0.         0.       104.2183   103.4609   102.3125
  102.2303   104.3896   107.534    110.1974   111.3842   111.9329   112.09
  112.0301   111.7556   111.2668   110.6426   109.8825   108.9102   107.6082
  106.1769   104.8731   103.7579   102.6842   101.6791   100.8418   100.1633
   99.51306   98.88259   98.3577    97.97518   97.6527    97.15417
   96.15975   94.5318    92.64029   90.98047   89.93793   89.21103
   88.71915   88.60734   89.57241   92.63636   96.94466  101.8729   106.2237
  111.2638   116.8069   123.2207   128.7764   133.8654   138.3119   142.3251
  145.178    145.8232   143.9596   142.573      0.         0.         0.
    0.       104.9942   112.7974   123.498    126.0886   123.3773   120.1592
  116.1483   112.3879   109.1862   106.3762   104.0565   102.3129   100.6921
  100.0234     0.         0.         0.         0.         0.         0.
  102.1306   100.698     98.34303   93.98431   89.48163   84.57247
   80.84762   77.0163    73.40392   70.26648   68.72078   68.37457
   68.86938   70.30697   71.90444   72.84964   72.94257   72.84692
   72.92303   73.15873   73.54046   74.21807   75.44215   76.50402
   77.53452   78.37041   79.3923    80.2887    80.90729   81.74772   82.945
   84.26115   85.15064   73.2687    61.79134   49.89601    0.         0.
    0.         0.         0.         0.         0.         0.         0.
    0.       134.8652   135.839    137.6459   137.9081   137.4216   136.4936
  135.465    134.441    131.8437   127.5118   120.4808   112.2015   102.3065
   95.54934   86.43057   81.0628    73.55952   70.59158   67.38506   66.372
   66.40573   66.53406   66.59307   66.43671   66.22518   64.88554
   65.8649    67.53456   70.85555   72.035     73.94416   75.8673
   76.89647   79.33795   67.45026   58.43674   45.43788   47.37486
   61.88123   70.2963     0.        51.08447   52.30346]"
