English: WH,English: Y/N,Mandarin: WH,Mandarin: Y/N,id,language,questions
1.415564551874378e-15,9.523444615467513e-16,1.0012172953971731e-15,8.760392645544213e-16,0,English,WH
1.3874641398746233e-15,1.573746872090201e-15,1.2998075117715088e-15,2.286458092887523e-15,1,English,Y/N
1.2270839148811564e-15,1.6228599432227497e-15,1.8304575467179586e-15,3.636997901772803e-15,2,English,WH
2.1964362079710235e-15,2.406797685224422e-15,1.940408882084636e-15,3.160342772230342e-15,3,English,WH
1.2934240229916653e-15,1.6822073584446878e-15,1.4429547489933837e-15,4.061333189437351e-15,4,English,WH
2.2238254852009715e-15,2.0250254678528276e-15,1.7307173493202024e-15,2.104686521376689e-15,5,English,Y/N
2.8911576388341404e-15,2.2151125595304492e-15,1.890581037291743e-15,2.314640363099284e-15,6,English,Y/N
8.361175794858599e-16,3.260600315699221e-16,2.7332686997330427e-16,1.6737049127852455e-16,7,English,Y/N
7.770796034666005e-16,8.348154294906483e-16,1.0563855424374899e-15,2.0842946740992496e-15,8,English,Y/N
1.793793217341825e-15,1.4845995531702718e-15,1.716380560963054e-15,1.8264705540004535e-15,9,English,WH
2.6368261012637495e-15,3.332438729703353e-15,2.643300004986525e-15,4.653303274435036e-15,10,English,WH
1.1729369564774442e-16,6.714182521803771e-17,5.0179591875924874e-17,9.434456404332942e-18,11,English,WH
2.3172293204516244e-16,1.0209447302009726e-16,1.1827838299646058e-16,6.219484070843041e-17,12,English,Y/N
4.334278934340118e-17,1.112305110079701e-16,6.27648397427844e-17,8.400527404366197e-17,13,English,Y/N
1.3085298926229093e-15,9.971466166747005e-16,8.360773624725237e-16,8.7393897395443315e-16,14,English,WH
3.375296698941596e-15,3.0533710406259134e-15,2.637828141439832e-15,3.7112219516046054e-15,15,English,Y/N
1.9665899644330404e-15,2.397758058330055e-15,2.0666532211301537e-15,3.7370906859427014e-15,16,English,Y/N
1.5480228359476815e-16,8.20596021878581e-17,4.692892639193365e-17,2.0709520162197914e-17,17,English,Y/N
1.0183557384241224e-15,4.4142887414608766e-16,9.44804091965172e-16,8.49689446005673e-16,18,English,Y/N
1.809926980387556e-15,1.921859688222348e-15,1.4830899808725693e-15,2.2865676864571437e-15,19,English,Y/N
2.6945476841632e-15,1.7172380596107226e-15,2.018732943308866e-15,2.733011598013366e-15,20,English,WH
3.360169413652144e-15,2.7926520655864958e-15,2.8771457479677825e-15,4.975255495258467e-15,21,English,WH
1.7418069314211656e-16,1.7173314489113878e-16,1.3016102008718818e-16,8.085995538053298e-17,22,English,Y/N
9.72226492063167e-16,7.088231680356294e-16,7.089529330717459e-16,4.2857772344606207e-16,23,English,Y/N
1.792796873724986e-16,7.031620026032776e-17,1.4788875933294131e-16,9.042651838035047e-17,24,English,WH
1.3846350040155356e-15,1.5434092901435694e-15,1.2861130134447396e-15,2.6770829978647846e-15,25,English,Y/N
3.031421269455383e-16,7.481168687209094e-16,4.804578763683865e-16,6.649491711871864e-16,26,English,Y/N
8.51952532380442e-18,3.639882583964173e-18,8.215286940788592e-18,4.575581825840666e-18,27,English,WH
7.047171674990137e-16,1.0033505066854066e-15,5.182477294148722e-16,4.3047925554719236e-16,28,English,Y/N
2.1158676988526273e-15,1.7108928408413134e-15,1.4623090822310825e-15,1.924704476157825e-15,29,English,WH
3.178718396176977e-15,2.3400229566748913e-15,2.0360504987122776e-15,2.167546082917192e-15,30,English,Y/N
