English: WH,English: Y/N,Mandarin: WH,Mandarin: Y/N,id,language,questions
4.935245644605337e-07,4.2488551029461257e-07,3.790099517933421e-07,2.960132063140575e-07,0,English,WH
4.584543728644448e-07,5.524791663439783e-07,4.899635555356797e-07,5.276566717076718e-07,1,English,Y/N
4.943989209380826e-07,6.406324898831376e-07,6.839739123806741e-07,1.0230460565738292e-06,2,English,WH
7.325135476337145e-07,1.0474348108324104e-06,8.014091937379062e-07,1.1301938057838092e-06,3,English,WH
9.143717227385205e-07,1.22027448636461e-06,1.0766702609583455e-06,1.8325544291518993e-06,4,English,WH
1.2179675543390458e-06,1.2681138649171676e-06,9.883746936572973e-07,1.0840211291470913e-06,5,English,Y/N
1.2331000735657279e-06,1.111881181682135e-06,1.0498025791486833e-06,1.163327489961596e-06,6,English,Y/N
7.899918421155433e-07,5.519435951130712e-07,4.747719775258097e-07,3.306756877900598e-07,7,English,Y/N
1.001771374211359e-06,1.4169377704020712e-06,1.0783694129253504e-06,1.8098213601702263e-06,8,English,Y/N
1.045648988020498e-06,9.280303726054152e-07,8.734022315892654e-07,9.569104236738299e-07,9,English,WH
1.4682325003546749e-06,1.6237462639305343e-06,1.227885359246579e-06,1.575360820273992e-06,10,English,WH
3.5553858207366837e-07,3.450057076230777e-07,1.8747495762725334e-07,7.816203940622298e-08,11,English,WH
6.391436760198739e-07,3.607399681637365e-07,4.926285181320965e-07,4.100947374738558e-07,12,English,Y/N
2.8491525515993584e-08,8.13104280770592e-08,5.1171636329148096e-08,4.816860471573525e-08,13,English,Y/N
5.625213640453523e-07,5.469693870074181e-07,4.0794559375632e-07,3.225415891325799e-07,14,English,WH
1.3821809996753517e-06,1.5263064075171896e-06,1.0668505359388553e-06,1.2159353200897333e-06,15,English,Y/N
5.868955043526299e-07,8.874180708325799e-07,6.698743396333198e-07,8.848680365903137e-07,16,English,Y/N
7.634874076632133e-07,7.526701928912237e-07,4.4662917952680035e-07,3.156079940181249e-07,17,English,Y/N
4.404981328338957e-07,2.416371088153127e-07,3.754471538265602e-07,2.9817474347977664e-07,18,English,Y/N
1.00266844235725e-06,1.1777119777819201e-06,8.621256128599394e-07,9.868873570624518e-07,19,English,Y/N
8.597315413009316e-07,5.90498940835575e-07,7.066775463678193e-07,7.21785834052582e-07,20,English,WH
1.1342272037003842e-06,1.2744029606065348e-06,1.1477037368094245e-06,1.5221480819850523e-06,21,English,WH
2.6533127931081523e-07,2.0270549122915992e-07,2.10578154722201e-07,1.481858294696107e-07,22,English,Y/N
5.536733374384833e-07,5.327246549856388e-07,3.4310333515800634e-07,2.356038330965101e-07,23,English,Y/N
8.225469866065373e-08,4.2507418929869956e-08,7.027491489134385e-08,3.706700835588839e-08,24,English,WH
7.69665684721445e-07,1.1832751027281054e-06,8.782058215833121e-07,1.4781850378017026e-06,25,English,Y/N
1.8183162602018475e-07,3.569422548862481e-07,2.5780811456201117e-07,2.739275949446367e-07,26,English,Y/N
3.321751895630798e-08,1.436885786589125e-08,3.62896561703839e-08,1.639993415919079e-08,27,English,WH
9.982454845467988e-07,1.2566476108785206e-06,9.082609350025102e-07,1.0115694374164081e-06,28,English,Y/N
1.3357814793243677e-06,1.282155376851319e-06,9.613564466525944e-07,9.846830735811567e-07,29,English,WH
1.1704240444012203e-06,1.1154519574580244e-06,8.069718019084372e-07,7.34741578798454e-07,30,English,Y/N
9.634866825599332e-07,1.1315239471467627e-06,1.0481760588797013e-06,1.7438606232057817e-06,31,English,Y/N
1.5103637737003581e-06,1.7287027811113733e-06,1.3880217781767924e-06,2.0402985459174734e-06,32,English,WH
4.39653182848545e-07,7.688773075998964e-07,5.490735151441911e-07,8.013479823548303e-07,33,English,WH
1.3241901461981244e-06,1.555247594685793e-06,1.2326634517432426e-06,1.7829174301409774e-06,34,English,WH
